Date,change in promoter Holding >0,change in promoter Holding <0,Headwind tailwind indicator,Result
04-Feb-25,355,829,0.43,Headwind
04-Mar-25,348,870,0.4,Headwind
01-Apr-25,368,914,0.4,Headwind
28-Apr-25,520,763,0.68,Headwind
15-May-25,603,747,0.81,Reversal
01-Jun-25,605,759,0.8,Reversal
12-Jul-25,604,828,0.73,Reversal
22-Jul-25,522,823,0.63,Headwind
27-Aug-25,494,843,0.59,Headwind
23-Sep-25,501,867,0.58,Headwind
25-Oct-25,531,833,0.64,Headwind
29-Nov-25,558,820,0.68,Headwind
22-Dec-25,565,837,0.68,Headwind
05-Jan-26,564,853,0.66,Headwind
16-Feb-26,613,780,0.79,Reversal
25-Mar-26,635,798,0.8,Reversal
20-Apr-26,727,735,0.99,Reversal
11-May-26,866,660,1.31,Tailwind
13-May-26,867,661,1.31,Tailwind
