,Nifty 50,,,,Nifty smallcap50,,,,Gold (INR/10gm),Silver (INR/Kg),Oil (USD/Barrel),Nifty energy,,,,Nifty IT,,,,,,Nifty smallcap 250,,,,,Nifty midcap 150 valuation,,,,,NIFTY COMMODITIES,,,,,NIFTY CPSE,,,,,NIFTY INDIA CONSUMPTION,,,,,NIFTY INFRASTRUCTURE,,,,,NIFTY MIDCAP LIQUID 15,,,,,NIFTY MNC,,,,,NIFTY PSE,,,,,NIFTY SERVICES SECTOR,,,,,NIFTY SHARIAH 25,,,,,NIFTY SME EMERGE,,,,,NIFTY100 ENHANCED ESG,,,,,NIFTY100 ESG,,,,,NIFTY100 LIQUID 15,,,,,NIFTY50 SHARIAH,,,,,NIFTY500 SHARIAH,,,,,Sector,Nifty Auto,,,,,Nifty Bank,,,,,Nifty Consumer Durables,,,,,Nifty FMCG,,,,,Nifty IT,,,,,Nifty Pharma,,,,,Nifty PSU Bank,,,,,Nifty Realty,,,,,Nifty Media,,,,,Nifty Metal,,,,,Nifty Financial Services,,,,,Nifty Private Bank,,,,,Nifty Oil & Gas,,,,,Nifty Financial Services 25/50,,,,,Nifty Healthcare,,,
MM/YY,Index,P/E,P/B,Div Yield %,Index,P/E,P/B,Div Yield %,Index,Index,Index,Index,P/E,P/B,Div Yield %,Nifty IT,P/E,P/B,Div Yield %,Energy/IT,,Nifty smallcap 250,P/E,P/B,Div Yield %,,Nifty midcap 150 valuation,P/E,P/B,Div Yield %,,NIFTY COMMODITIES,P/E,P/B,Div Yield %,,NIFTY CPSE,P/E,P/B,Div Yield %,,NIFTY INDIA CONSUMPTION,P/E,P/B,Div Yield %,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Index,P/E,P/B,Dividend Yield,,Sector,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %,,Index,P/E,P/B,Div Yield %
Oct-05,"2,370.95",14.23,3.63,1.87,1235.33,,,,6990,11650,59.8,5331.05,11.73,2.28,2.85,"3,211.95",33.07,8.78,0.78,1.66,,1315.56,,,,,1214.03,,,,,1097.67,,,,,,,,,,,,,,,,,,,,,,,,,2146.77,23.95,6.32,1.69,,1814.36,10.64,2.46,3.07,,3097.18,17.44,3.14,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector,,,,,,4003.85,11.75,2.02,1.68,,,,,,,3702.87,25.41,7.56,2.03,,3211.95,33.07,8.78,0.78,,1941.14,29.22,6.37,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-05,"2,652.25",15.95,4.06,1.68,1393.34,,,,7430,12400,57.33,5631.05,13.08,2.54,2.55,"3,533.95",36.4,9.67,0.71,1.59,,1473.69,,,,,1331.69,,,,,1226.6,,,,,,,,,,,,,,,,,,,,,,,,,2439.03,27.23,7.19,1.49,,2041.88,11.39,2.63,2.87,,3404.86,19.17,3.45,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector,,,,,,4298.2,12.62,2.17,1.56,,,,,,,4120.79,28.3,8.41,1.82,,3533.95,36.4,9.67,0.71,,2159.31,32.5,7.08,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,"2,836.55",17.16,4.37,1.56,1462.43,,,,7635,13300,61.06,5831.05,14.08,2.74,2.37,"3,906.90",40.26,10.69,0.64,1.49,,1557.6,,,,,1414.17,,,,,1300.51,,,,,,,,,,,,,,,,,,,,,,,,,2586.91,28.88,7.62,1.4,,2186.88,11.91,2.73,2.76,,3630.76,20.67,3.72,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector,,,,,,4534.2,13.91,2.39,1.42,,,,,,,4421.43,30.41,9.04,1.69,,3906.9,40.26,10.69,0.64,,2216.5,33.36,7.27,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-06,"3,001.10",17.9,4.53,1.51,"1,522.93",,,,"8,205","14,575",67.86,6031.05,13.61,2.65,2.45,"4,010",41.15,10.62,0.71,1.5,,1636.68,,,,,1511.78,,,,,1357.4,,,,,,,,,,1052.89,,,,,,,,,,,,,,,2811.09,30.73,8.23,1.33,,2274.63,12.2,2.8,2.69,,3740.05,21.54,3.81,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector,,,,,,4617.6,14.23,2.45,1.39,,,,,,,4669.83,31.61,9.3,1.61,,4010.3,41.54,10.72,0.71,,2308.68,34.44,7.54,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-06,"3,074.70",18.27,4.64,1.47,"1,541.91",,,,"8,070","13,775",61.37,6231.05,13.73,2.67,2.43,"3,973",42.16,10.85,0.7,1.57,,1622.97,,,,,1548.68,,,,,1403.56,,,,,,,,,,1138.02,,,,,,,,,,,,,,,3064.24,33.67,9.03,1.23,,2330.79,13.66,3.12,2.38,,3789.58,21.9,3.88,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector,,,,,,4579.05,14.3,2.46,1.38,,,,,,,5262.66,35.63,10.49,1.43,,3972.9,42.16,10.85,0.7,,2543.44,37.94,8.31,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-06,"3,402.55",20.26,5.15,1.33,"1,669.09",,,,"8,515","17,300",66.25,6531.05,14.99,2.92,2.23,"4,353",46.47,11.96,0.64,1.5,,1786.61,,,,,1721.36,,,,,1582.66,,,,,,,,,,1257.44,,,,,,,,,,,,,,,3429.69,37.69,10.11,1.1,,2553.92,15.38,3.16,2.35,,4055.84,24.15,4.21,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector,,,,,,4661.5,15.31,2.58,1.29,,,,,,,5897.48,39.92,11.75,1.28,,4352.9,46.47,11.96,0.64,,2765.19,41.25,9.03,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-06,"3,557.60",20.31,5.39,1.27,"1,838.74",,,,"9,520","20,198",71.8,6731.05,16.24,3.06,2.12,"4,342",34.9,11.94,0.64,1.55,,2005.92,,,,,1846.28,,,,,1771.34,,,,,,,,,,1291.17,,,,,,,,,,,,,,,3621.21,30.43,10.7,1.03,,2588.27,12.05,2.66,2.79,,4039.52,20.11,4.19,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector,,,,,,4549.8,12.79,2.52,1.32,,,,,,,6172.28,35.53,12.3,1.22,,4341.85,34.9,11.94,0.64,,2795.24,34.48,9.16,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-06,"3,071.05",17.46,4.57,1.48,"1,563.79",,,,"9,851","19,604",71.42,5431.05,12.49,2.65,2.45,"3,870",32.24,11.08,0.69,1.4,,1841.18,,,,,1568.17,,,,,1475.25,,,,,,,,,,1103.48,,,,,,,,,,,,,,,2982.02,25.38,8.24,1.3,,2175.53,12.33,2.57,2.89,,3551.08,17.71,3.67,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector,,,,,,4123.55,11.92,2.25,1.47,,,,,,,5067.71,29.67,10.02,1.48,,3869.65,31,10.65,0.72,,2438.31,31.63,8.01,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,"3,128.20",18.44,4.66,1.49,"1,325.69",,,,"8,970","16,139",73.94,5631.05,13.13,2.53,2.52,"3,958",31.79,10.34,0.99,1.42,,1592,,,,,1388.44,,,,,1448.29,,,,,,,,,,1106.25,,,,,,,,,,,,,,,2861.88,24.16,7.76,1.37,,2105.35,11.56,2.59,2.87,,3520.92,18.38,3.39,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector,,,,,,3708.9,10.73,1.82,1.82,,,,,,,5159.14,30.15,10.2,1.46,,3957.55,31.79,10.34,0.99,,2285.92,29.46,7.31,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
